N =  50 ;
CostProd = 
[
[	[55.054227335149, 	31.2994856369383, 	55.75143929221], 		 [42.2619223221902, 	43.0038796125729, 	22.5733908104235 ]	]
[	[55.5829822962679, 	42.283956533195, 	49.8692743765157], 		 [38.2062441983921, 	41.1065038414442, 	26.8019249090323 ]	]
[	[53.8376410835819, 	37.8227225283467, 	49.4164253097116], 		 [36.377019388667, 	46.6645316106449, 	36.6118377992812 ]	]
[	[56.0042437668052, 	40.764083736189, 	50.1950923483615], 		 [39.4936677518528, 	39.6982551052091, 	28.3110726748467 ]	]
[	[55.4788273282338, 	43.5671983502534, 	48.5604275056118], 		 [40.4067735516415, 	43.6556202650506, 	26.2889826475649 ]	]
[	[55.6408724889732, 	41.1361053914064, 	47.8272002647453], 		 [41.99582952964, 	48.2670275120247, 	30.8017443182536 ]	]
[	[55.3974571075599, 	43.1106195364783, 	49.8264484289751], 		 [29.8454837698711, 	43.5724426533297, 	34.0837483776556 ]	]
[	[54.989860551145, 	35.2850073523785, 	54.3895780825114], 		 [31.6462500750287, 	39.1717891435473, 	29.6424546467888 ]	]
[	[52.1699350492604, 	38.8275821132458, 	50.84434096549], 		 [29.7358009159577, 	45.7007678375938, 	35.939474692454 ]	]
[	[54.2259513149962, 	42.0092666205984, 	49.2429661061629], 		 [31.0213135364917, 	42.3271524201947, 	36.8388573203282 ]	]
[	[54.2923068848952, 	36.3956519506698, 	51.8104854946747], 		 [31.8454641631012, 	45.5647054978805, 	33.6007137069606 ]	]
[	[52.8320130444696, 	38.5977899242844, 	48.8412304227424], 		 [22.6987816486787, 	48.797700588987, 	31.3029649038532 ]	]
[	[56.5256200399896, 	43.8561062020525, 	47.548411048324], 		 [34.1888194993205, 	42.6944883530661, 	38.5498962315355 ]	]
[	[53.5542773304644, 	41.4192285458555, 	48.8015828118154], 		 [34.910230087591, 	47.4468604002313, 	34.5390736394555 ]	]
[	[54.369864556216, 	38.4113210479453, 	50.9553163011608], 		 [32.5338555713759, 	43.7577310453594, 	28.0293953793488 ]	]
[	[54.7562235887748, 	45.1472472730376, 	47.810389649305], 		 [28.949042099473, 	45.7095733810968, 	37.3599105564218 ]	]
[	[55.1538231913294, 	35.7312541116986, 	51.8345313887703], 		 [38.3368569383312, 	43.950123018129, 	31.55369690496 ]	]
[	[56.0694384748462, 	44.3746248018123, 	48.637583985909], 		 [38.8242185413173, 	42.6102308002297, 	29.0768305606992 ]	]
