N =  1000 ;
CostProd = 
[
[	[55.7857509312296, 	40.0947639654536, 	52.075424184951], 		 [41.7788951520735, 	41.3033520872313, 	30.1525816037031 ]	]
[	[54.7635223074869, 	38.4987062871397, 	48.0467898493857], 		 [38.9350933964685, 	51.1207123586854, 	27.0839909591697 ]	]
[	[56.2562418620128, 	38.0423223290587, 	51.0004063925586], 		 [39.4876329971339, 	45.3493099511287, 	24.5139519499969 ]	]
[	[55.3036631571321, 	33.4496614515089, 	52.4629153105479], 		 [44.4529797418785, 	48.0308561080071, 	20 ]	]
[	[54.126847944407, 	37.3499760865232, 	51.5788795298746], 		 [37.2090776133556, 	45.5286571560106, 	27.7049061855713 ]	]
[	[55.2970429671805, 	41.0867476621211, 	49.4784824512375], 		 [27.2699123976512, 	43.4497304603542, 	34.3993881832082 ]	]
[	[55.0976037027712, 	36.9014728196206, 	49.8107436729411], 		 [41.3857420208008, 	44.7613082414501, 	23.5782001896472 ]	]
[	[55.5808041646868, 	40.4398886550153, 	49.1946932348713], 		 [39.419563091246, 	45.3601098691176, 	25.7291389268174 ]	]
[	[53.6836593782112, 	35.0986788471389, 	52.367341813845], 		 [32.6031766385853, 	47.0337084162781, 	32.3390150690647 ]	]
[	[54.1271221677107, 	39.0981927550202, 	50.7883116691915], 		 [36.4056033506186, 	46.4374955281763, 	26.0681141132793 ]	]
[	[55.4308691649345, 	41.6608250231397, 	49.6623402933582], 		 [31.3640291792325, 	45.2503206096301, 	31.7400956855467 ]	]
[	[53.7512197543762, 	43.0259583850576, 	48.0116513290533], 		 [33.3974640670167, 	42.5018745168715, 	36.507322372562 ]	]
[	[55.6928905823249, 	38.5755484603976, 	50.5905205471846], 		 [35.3586812666096, 	46.128753438414, 	27.1984241828753 ]	]
[	[53.9723658510526, 	44.6419087484799, 	47.3843281782347], 		 [30.8657769633545, 	47.3444666864995, 	40.3593882045753 ]	]
[	[56.5013566829168, 	47.2906790035257, 	47.2166163761966], 		 [44.6316139536341, 	42.8703659701486, 	28.6587356122314 ]	]
[	[56.4173384841724, 	39.0586113797119, 	52.9664342591519], 		 [44.0608290860708, 	45.5003923188429, 	20 ]	]
[	[56.0194680692301, 	39.6478991563061, 	50.5451108378632], 		 [42.5374358852208, 	44.6773994128222, 	21.9078458820687 ]	]
[	[55.5008654045627, 	40.6485609226685, 	48.5150501178504], 		 [43.8239327965249, 	44.7096371802409, 	31.7782806313379 ]	]
[	[54.48062939978, 	34.9250546893314, 	51.7039149511938], 		 [34.5996097762674, 	46.1541300281608, 	25.3882461015003 ]	]
[	[54.0639628416332, 	42.1162700898306, 	47.4329064385091], 		 [34.6735777705268, 	50.8612669102372, 	37.4968823552234 ]	]
[	[55.3388001667702, 	55.6901419257744, 	41.6650482238942], 		 [30.6759421836479, 	47.1147027201529, 	45.8063386762224 ]	]
[	[52.8197262305782, 	38.1915365958598, 	49.0284553012708], 		 [26.5648103918734, 	50.3588105106786, 	34.2620046777917 ]	]
[	[55.1473984504133, 	38.6019830164463, 	51.829576730605], 		 [34.0791705182724, 	43.2346944122853, 	22.2396452903698 ]	]
[	[54.9647704121819, 	33.0937227294344, 	51.8614617209019], 		 [39.9761490471588, 	50.0820517647647, 	20.8006669987691 ]	]
[	[54.3817128488501, 	39.9717517409029, 	50.8032285785493], 		 [36.5037062094447, 	47.0830719931749, 	25.919279870306 ]	]
[	[55.1150182693966, 	36.2470637155197, 	53.8444930712985], 		 [30.2233025851491, 	39.8439328660736, 	27.2526347742453 ]	]
[	[53.8867911812202, 	36.1456161826442, 	51.7267136458175], 		 [32.2214848678285, 	46.2965467709319, 	26.392966880666 ]	]
[	[52.9775945718695, 	34.5513550305437, 	51.6996276685977], 		 [31.1297118142561, 	43.4781565931966, 	28.9086944534374 ]	]
[	[54.1881708337505, 	43.930550657142, 	49.3296234626622], 		 [26.3748392570322, 	45.1501678354498, 	32.5271165347069 ]	]
